,epsilon,dims,PSC,PGA
0,0.01,2,0.9612065812265008,0.313770965778257
1,0.01,3,0.9861992522928327,0.4752175816095258
2,0.01,4,0.9894150968695143,0.5903839047561122
3,0.01,5,0.9752459483244433,0.6827355796522637
4,0.01,6,0.9785915953551315,0.7564051737972155
5,0.01,7,0.9820832519245835,0.8208068416909373
6,0.05,2,0.9843924652828628,0.3099954288346353
7,0.05,3,0.9953108993453033,0.47230678724891195
8,0.05,4,0.9966977293418087,0.5879621231604986
9,0.05,5,0.9980912331540166,0.6795313692062482
10,0.05,6,0.9978585104759488,0.7559636921164365
11,0.05,7,1.0004004353060074,0.8180713157750447
12,0.1,2,0.9565916643243856,0.3071412893201343
13,0.1,3,1.0037338500091488,0.47245628345543267
14,0.1,4,0.9935964223667183,0.5883697840255238
15,0.1,5,0.9868455424617693,0.6769311506405102
16,0.1,6,0.9794338663241554,0.7509343939877821
17,0.1,7,0.9863905757237278,0.8149173612310554
18,0.5,2,0.9840558071534536,0.27777320619584667
19,0.5,3,0.9991405076083794,0.4239702694405233
20,0.5,4,0.9999631779904481,0.5285593247387436
21,0.5,5,0.9908347450983939,0.6074200111687887
22,0.5,6,0.989469556261465,0.6748706541103953
23,0.5,7,0.9897075597066636,0.7322561362143684
